entity,type,link,KEGG_ID,alias,credibilities
MUC2,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4583,hsa:4583,"MUC2, MLP, MUC-2, SMUC; mucin 2, oligomeric mucus/gel-forming
",1
MUC5AC,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4586,hsa:4586,"MUC5AC, MUC5, TBM, leB, mucin; mucin 5AC, oligomeric mucus/gel-forming
",8
MMUT,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4594,hsa:4594,"MMUT, MCM, MUT; methylmalonyl-CoA mutase
",13
MVD,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4597,hsa:4597,"MVD, FP17780, MDDase, MPD, POROK7; mevalonate diphosphate decarboxylase
",7
MVK,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4598,hsa:4598,"MVK, LRBP, MK, MVLK, POROK3; mevalonate kinase
",2
MX1,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4599,hsa:4599,"MX1, IFI-78K, IFI78, MX, MxA, lncMX1-215; MX dynamin like GTPase 1",4
MX2,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4600,hsa:4600,"MX2, MXB; MX dynamin like GTPase 2
",4
MYB,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4602,hsa:4602,"MYB, Cmyb, c-myb, c-myb_CDS, efg; MYB proto-oncogene, transcription factor
",2
MYBL2,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4605,hsa:4605,"MYBL2, B-MYB, BMYB; MYB proto-oncogene like 2
",10
MYBPC3,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4607,hsa:4607,"MYBPC3, CMD1MM, CMH4, FHC, LVNC10, MYBP-C, cMyBP-C; myosin binding protein C3
",4
MYC,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4609,hsa:4609,"MYC, MRTL, MYCC, bHLHe39, c-Myc; MYC proto-oncogene, bHLH transcription factor
",137
MYD88,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4615,hsa:4615,"MYD88, IMD68, MYD88D; MYD88 innate immune signal transduction adaptor
",117
GADD45B,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4616,hsa:4616,"GADD45B, GADD45BETA, MYD118; growth arrest and DNA damage inducible beta
",37
SERPINC1,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:462,hsa:462,"SERPINC1, AT3, AT3D, ATIII, ATIII-R2, ATIII-T1, ATIII-T2, THPH7; serpin family C member 1
",5
MYH6,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4624,hsa:4624,"MYH6, ASD3, CMD1EE, CMH14, MYHC, MYHCA, SSS3, alpha-MHC; myosin heavy chain 6",17
MYH7,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4625,hsa:4625,"MYH7, CMD1S, CMH1, MPD1, MYHCB, SPMD, SPMM; myosin heavy chain 7
",17
MYH9,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4627,hsa:4627,"MYH9, BDPLT6, DFNA17, EPSTS, FTNS, MATINS, MHA, NMHC-II-A, NMMHC-IIA, NMMHCA; myosin heavy chain 9",13
MYH10,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4628,hsa:4628,"MYH10, NMMHC-IIB, NMMHCB; myosin heavy chain 10",13
MYH11,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4629,hsa:4629,"MYH11, AAT4, FAA4, SMHC, SMMHC, SMMS-1, VSCM2; myosin heavy chain 11",13
MYL2,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4633,hsa:4633,"MYL2, CMH10, MFM12, MLC-2s/v, MLC2; myosin light chain 2",113
MYL3,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4634,hsa:4634,"MYL3, CMH8, MLC-lV/sb, MLC1SB, MLC1V, VLC1, VLCl; myosin light chain 3",15
MYL4,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4635,hsa:4635,"MYL4, ALC1, AMLC, GT1, PRO1957; myosin light chain 4
",11
MYL5,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4636,hsa:4636,"MYL5, MYLC2; myosin light chain 5",68
MYL6,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4637,hsa:4637,"MYL6, ESMLC, LC17, LC17-GI, LC17-NM, LC17A, LC17B, MLC-3, MLC1SM, MLC3NM, MLC3SM; myosin light chain 6
",63
MYLK,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4638,hsa:4638,"MYLK, AAT7, KRP, MLCK, MLCK1, MLCK108, MLCK210, MMIHS, MMIHS1, MSTP083, MYLK-L, MYLK1, smMLCK; myosin light chain kinase",129
MYO1A,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4640,hsa:4640,"MYO1A, BBMI, DFNA48, MIHC, MYHL; myosin IA",2
MYO1C,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4641,hsa:4641,"MYO1C, MMI-beta, MMIb, MyoIC, NMI, myr2; myosin IC",2
MYO1D,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4642,hsa:4642,"MYO1D, PPP1R108, myr4; myosin ID",2
MYO1E,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4643,hsa:4643,"MYO1E, FSGS6, HuncM-IC, MYO1C; myosin IE",2
MYO5A,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4644,hsa:4644,"MYO5A, GS1, MYH12, MYO5, MYR12; myosin VA",2
MYO5B,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4645,hsa:4645,"MYO5B, DIAR2, MVID1; myosin VB",2
MYO6,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4646,hsa:4646,"MYO6, DFNA22, DFNB37; myosin VI
",20
MYO10,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4651,hsa:4651,"MYO10, MyoX; myosin X",4
MYOD1,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4654,hsa:4654,"MYOD1, MYF3, MYOD, MYODRIF, PUM, bHLHc1; myogenic differentiation 1
",3
PPP1R12A,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4659,hsa:4659,"PPP1R12A, GUBS, M130, MBS, MYPT1; protein phosphatase 1 regulatory subunit 12A",94
PPP1R12B,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4660,hsa:4660,"PPP1R12B, MYPT2, PP1bp55; protein phosphatase 1 regulatory subunit 12B",70
NACA,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4666,hsa:4666,"NACA, HSD48, NAC-alpha, NACA1, skNAC; nascent polypeptide associated complex subunit alpha
",6
NAGA,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4668,hsa:4668,"NAGA, D22S674, GALB; alpha-N-acetylgalactosaminidase
",4
NAGLU,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4669,hsa:4669,"NAGLU, CMT2V, MPS-IIIB, MPS3B, NAG, UFHSD; N-acetyl-alpha-glucosaminidase
",1
NAIP,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4671,hsa:4671,"NAIP, BIRC1, NLRB1, psiNAIP; NLR family apoptosis inhibitory protein
",9
NARS1,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4677,hsa:4677,"NARS1, ASNRS, NARS, NEDMILEG, NEDMILG; asparaginyl-tRNA synthetase 1",4
ATF4,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:468,hsa:468,"ATF4, CREB-2, CREB2, TAXREB67, TXREB; activating transcription factor 4
",290
NBL1,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4681,hsa:4681,"NBL1, D1S1733E, DAN, DAND1, NB, NO3; NBL1, DAN family BMP antagonist
",11
NCAM1,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4684,hsa:4684,"NCAM1, CD56, MSK39, NCAM; neural cell adhesion molecule 1",11
NCAM2,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4685,hsa:4685,"NCAM2, NCAM21; neural cell adhesion molecule 2
",11
NCBP1,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4686,hsa:4686,"NCBP1, CBP80, NCBP, Sto1; nuclear cap binding protein subunit 1
",4
NCF2,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4688,hsa:4688,"NCF2, NCF-2, NOXA2, P67-PHOX, P67PHOX; neutrophil cytosolic factor 2",1
NCF4,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4689,hsa:4689,"NCF4, CGD3, NCF, P40PHOX, SH3PXD4; neutrophil cytosolic factor 4",1
NCK1,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4690,hsa:4690,"NCK1, NCK, NCKalpha, nck-1; NCK adaptor protein 1",32
NDUFA1,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4694,hsa:4694,"NDUFA1, CI-MWFE, MC1DN12, MWFE, ZNF183; ",14
NDUFA2,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4695,hsa:4695,"NDUFA2, B8, CD14, CIB8, MC1DN13; ",14
NDUFA3,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4696,hsa:4696,"NDUFA3, B9, CI-B9; ",14
NDUFA4,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4697,hsa:4697,"NDUFA4, CI-9k, CI-MLRQ, COXFA4, MC4DN21, MISTR1, MLRQ, MRCAF1; NDUFA4 mitochondrial complex associated",14
NDUFA5,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4698,hsa:4698,"NDUFA5, B13, CI-13KD-B, CI-13kB, NUFM, UQOR13; ",14
ACLY,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:47,hsa:47,"ACLY, ACL, ATPCL, CLATP; ATP citrate lyase
",14
NDUFA6,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4700,hsa:4700,"NDUFA6, B14, CI-B14, LYRM6, MC1DN33, NADHB14; ",14
NDUFA7,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4701,hsa:4701,"NDUFA7, B14.5a, CI-B14.5a; ",14
NDUFA8,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4702,hsa:4702,"NDUFA8, CI-19KD, CI-PGIV, MC1DN37, PGIV; ",14
NDUFA9,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4704,hsa:4704,"NDUFA9, CC6, CI-39k, CI39k, COQ11, MC1DN26, NDUFS2L, SDR22E1; ",14
NDUFA10,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4705,hsa:4705,"NDUFA10, CI-42KD, CI-42k, MC1DN22; ",14
NDUFAB1,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4706,hsa:4706,"NDUFAB1, ACP, ACP1, FASN2A, SDAP; ",14
NDUFB1,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4707,hsa:4707,"NDUFB1, CI-MNLL, CI-SGDH, MNLL; ",14
NDUFB2,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4708,hsa:4708,"NDUFB2, AGGG, CI-AGGG; ",14
NDUFB3,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4709,hsa:4709,"NDUFB3, B12, CI-B12, MC1DN25; ",14
ATIC,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:471,hsa:471,"ATIC, AICAR, AICARFT, HEL-S-70p, IMPCHASE, PURH; 5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase
",46
NDUFB4,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4710,hsa:4710,"NDUFB4, B15, CI-B15; ",14
NDUFB5,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4711,hsa:4711,"NDUFB5, CISGDH, SGDH; ",14
NDUFB6,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4712,hsa:4712,"NDUFB6, B17, CI; ",14
NDUFB7,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4713,hsa:4713,"NDUFB7, B18, CI-B18; ",14
NDUFB8,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4714,hsa:4714,"NDUFB8, ASHI, CI-ASHI, MC1DN32; ",14
NDUFB9,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4715,hsa:4715,"NDUFB9, B22, CI-B22, LYRM3, MC1DN24, UQOR22; ",14
NDUFB10,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4716,hsa:4716,"NDUFB10, MC1DN35, PDSW; ",14
NDUFC1,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4717,hsa:4717,"NDUFC1, KFYI; ",14
NDUFC2,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4718,hsa:4718,"NDUFC2, B14.5b, CI-B14.5b, HLC-1, MC1DN36, NADHDH2; ",14
NDUFS1,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4719,hsa:4719,"NDUFS1, CI-75Kd, CI-75k, MC1DN5, PRO1304; ",14
ATM,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:472,hsa:472,"ATM, AT1, ATA, ATC, ATD, ATDC, ATE, TEL1, TELO1; ATM serine/threonine kinase
",50
NDUFS2,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4720,hsa:4720,"NDUFS2, CI-49, MC1DN6; ",14
NDUFS3,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4722,hsa:4722,"NDUFS3, CI-30, MC1DN8; ",14
NDUFV1,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4723,hsa:4723,"NDUFV1, CI-51K, CI51KD, MC1DN4, UQOR1; ",14
NDUFS4,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4724,hsa:4724,"NDUFS4, AQDQ, CI-18, CI-18_kDa, CI-AQDQ, MC1DN1; ",14
NDUFS5,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4725,hsa:4725,"NDUFS5, CI-15k, CI15K; ",14
NDUFS6,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4726,hsa:4726,"NDUFS6, CI-13kA, CI-13kD-A, CI13KDA, MC1DN9; ",14
NDUFS8,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4728,hsa:4728,"NDUFS8, CI-23k, CI23KD, MC1DN2, TYKY; ",14
NDUFV2,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4729,hsa:4729,"NDUFV2, CI-24k, MC1DN7; ",14
NDUFV3,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4731,hsa:4731,"NDUFV3, CI-10k, CI-9KD; ",14
NEDD4,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4734,hsa:4734,"NEDD4, NEDD4-1, RPF1; NEDD4 E3 ubiquitin protein ligase
",11
SEPTIN2,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4735,hsa:4735,"SEPTIN2, DIFF6, NEDD-5, NEDD5, Pnutl3, SEPT2, hNedd5; septin 2",2
NEFM,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4741,hsa:4741,"NEFM, NEF3, NF-M, NFM; neurofilament medium chain
",20
NEFH,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4744,hsa:4744,"NEFH, CMT2CC, NFH; neurofilament heavy chain
",20
NEFL,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4747,hsa:4747,"NEFL, CMT1F, CMT2E, CMTDIG, NF-L, NF68, NFL, PPP1R110; neurofilament light chain
",21
ATOX1,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:475,hsa:475,"ATOX1, ATX1, HAH1; antioxidant 1 copper chaperone
",1
NEO1,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4756,hsa:4756,"NEO1, IGDCC2, NGN, NTN1R2; neogenin 1
",5
NEU1,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4758,hsa:4758,"NEU1, NANH, NEU, SIAL1; neuraminidase 1",5
NEU2,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4759,hsa:4759,"NEU2, SIAL2; neuraminidase 2
",5
ATP1A1,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:476,hsa:476,"ATP1A1, CMT2DD, HOMGSMR2; ATPase Na+/K+ transporting subunit alpha 1",31
NEUROD1,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4760,hsa:4760,"NEUROD1, BETA2, BHF-1, MODY6, NEUROD, T2D, bHLHa3; neuronal differentiation 1
",4
NF1,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4763,hsa:4763,"NF1, NFNS, VRNF, WSS; neurofibromin 1
",18
ATP1A2,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:477,hsa:477,"ATP1A2, DEE98, FARIMPD, FHM2, MHP2; ATPase Na+/K+ transporting subunit alpha 2",31
NF2,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4771,hsa:4771,"NF2, ACN, BANF, SCH, merlin-1; NF2, moesin-ezrin-radixin like (MERLIN) tumor suppressor
",3
NFATC1,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4772,hsa:4772,"NFATC1, NF-ATC, NF-ATc1.2, NFAT2, NFATc; nuclear factor of activated T cells 1",288
NFATC2,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4773,hsa:4773,"NFATC2, NFAT1, NFATP; nuclear factor of activated T cells 2",262
NFATC3,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4775,hsa:4775,"NFATC3, NF-AT4c, NFAT4, NFATX; nuclear factor of activated T cells 3",250
NFATC4,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4776,hsa:4776,"NFATC4, NF-AT3, NF-ATC4, NFAT3; nuclear factor of activated T cells 4
",132
ATP1A3,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:478,hsa:478,"ATP1A3, AHC2, ATP1A1, CAPOS, DEE99, DYT12, RDP; ATPase Na+/K+ transporting subunit alpha 3",31
NFE2L2,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4780,hsa:4780,"NFE2L2, HEBP1, IMDDHH, NRF2, Nrf-2; NFE2 like bZIP transcription factor 2
",103
ATP12A,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:479,hsa:479,"ATP12A, ATP1AL1, H-K-ATPase, HK; ATPase H+/K+ transporting non-gastric alpha2 subunit",3
NFKB1,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4790,hsa:4790,"NFKB1, CVID12, EBP-1, KBF1, NF-kB, NF-kB1, NF-kappa-B1, NF-kappaB, NF-kappabeta, NFKB-p105, NFKB-p50, NFkappaB; nuclear factor kappa B subunit 1",847
NFKB2,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4791,hsa:4791,"NFKB2, CVID10, H2TF1, LYT-10, LYT10, NF-kB2, p100, p49/p100, p52; nuclear factor kappa B subunit 2",59
NFKBIA,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4792,hsa:4792,"NFKBIA, EDAID2, IKBA, MAD-3, NFKBI; NFKB inhibitor alpha",373
NFKBIB,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4793,hsa:4793,"NFKBIB, IKBB, TRIP9; NFKB inhibitor beta
",143
NFKBIE,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4794,hsa:4794,"NFKBIE, IKBE; NFKB inhibitor epsilon
",74
NFX1,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4799,hsa:4799,"NFX1, NFX2, TEG-42, Tex42; nuclear transcription factor, X-box binding 1
",2
ACO1,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:48,hsa:48,"ACO1, ACONS, HEL60, IREB1, IREBP, IREBP1, IRP1; aconitase 1",8
ATP1A4,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:480,hsa:480,"ATP1A4, ATP1A1, ATP1AL2; ATPase Na+/K+ transporting subunit alpha 4",31
NFYA,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4800,hsa:4800,"NFYA, CBF-A, CBF-B, HAP2, NF-YA; nuclear transcription factor Y subunit alpha",22
NFYB,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4801,hsa:4801,"NFYB, CBF-A, CBF-B, HAP3, NF-YB; nuclear transcription factor Y subunit beta",33
NFYC,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4802,hsa:4802,"NFYC, CBF-C, CBFC, H1TF2A, HAP5, HSM, NF-YC; nuclear transcription factor Y subunit gamma
",19
NGF,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4803,hsa:4803,"NGF, Beta-NGF, HSAN5, NGFB; nerve growth factor",113
NGFR,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4804,hsa:4804,"NGFR, CD271, Gp80-LNGFR, TNFRSF16, p75(NTR), p75NTR; nerve growth factor receptor
",243
ATP1B1,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:481,hsa:481,"ATP1B1, ATP1B; ATPase Na+/K+ transporting subunit beta 1",31
ATP1B2,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:482,hsa:482,"ATP1B2, AMOG; ATPase Na+/K+ transporting subunit beta 2",31
NKX2-2,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4821,hsa:4821,"NKX2-2, NKX2.2, NKX2B; NK2 homeobox 2
",5
NKX3-1,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4824,hsa:4824,"NKX3-1, BAPX2, NKX3, NKX3.1, NKX3A; NK3 homeobox 1
",6
NKX6-1,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4825,hsa:4825,"NKX6-1, NKX6.1, NKX6A; NK6 homeobox 1
",2
NMB,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4828,hsa:4828,"NMB; neuromedin B
",3
NMBR,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4829,hsa:4829,"NMBR, BB1, BB1R, BRS1, NMB-R; neuromedin B receptor",3
ATP1B3,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:483,hsa:483,"ATP1B3, ATPB-3, CD298; ATPase Na+/K+ transporting subunit beta 3",31
NME1,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4830,hsa:4830,"NME1, AWD, GAAD, NB, NBS, NDKA, NDPK-A, NDPKA, NM23, NM23-H1; NME/NM23 nucleoside diphosphate kinase 1",149
NME2,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4831,hsa:4831,"NME2, NDKB, NDPK-B, NDPKB, NM23-H2, NM23B, PUF; NME/NM23 nucleoside diphosphate kinase 2",149
NME3,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4832,hsa:4832,"NME3, DR-nm23, NDPK-C, NDPKC, NM23-H3, NM23H3, c371H6.2; NME/NM23 nucleoside diphosphate kinase 3",149
NME4,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4833,hsa:4833,"NME4, NDPK-D, NM23H4, nm23-H4; NME/NM23 nucleoside diphosphate kinase 4",149
NNMT,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4837,hsa:4837,"NNMT; nicotinamide N-methyltransferase
",15
NODAL,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4838,hsa:4838,"NODAL, HTX5; nodal growth differentiation factor
",16
NOS1,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4842,hsa:4842,"NOS1, IHPS1, N-NOS, NC-NOS, NOS, bNOS, nNOS; nitric oxide synthase 1",100
NOS2,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4843,hsa:4843,"NOS2, HEP-NOS, INOS, NOS, NOS2A; nitric oxide synthase 2",111
NOS3,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4846,hsa:4846,"NOS3, ECNOS, eNOS; nitric oxide synthase 3
",162
NOTCH1,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4851,hsa:4851,"NOTCH1, AOS5, AOVD1, TAN1, hN1; notch receptor 1",62
NPY,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4852,hsa:4852,"NPY, PYY4; neuropeptide Y
",43
NOTCH2,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4853,hsa:4853,"NOTCH2, AGS2, HJCYS, hN2; notch receptor 2",61
NOTCH3,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4854,hsa:4854,"NOTCH3, CADASIL, CADASIL1, CASIL, IMF2, LMNS; notch receptor 3",62
NOTCH4,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4855,hsa:4855,"NOTCH4, INT3; notch receptor 4
",58
FXYD2,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:486,hsa:486,"FXYD2, ATP1G1, HOMG2; FXYD domain containing ion transport regulator 2
",31
PNP,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4860,hsa:4860,"PNP, NP, PRO1837, PUNP; purine nucleoside phosphorylase
",123
NPC1,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4864,hsa:4864,"NPC1, NPC, POGZ, SLC65A1; NPC intracellular cholesterol transporter 1
",1
ATP2A1,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:487,hsa:487,"ATP2A1, ATP2A, SERCA1; ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 1",10
NPPA,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4878,hsa:4878,"NPPA, ANF, ANP, ATFB6, ATRST2, CDD, CDD-ANF, CDP, PND; natriuretic peptide A
",27
NPPB,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4879,hsa:4879,"NPPB, BNP, Iso-ANP; natriuretic peptide B
",6
ATP2A2,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:488,hsa:488,"ATP2A2, ATP2B, DAR, DD, SERCA2; ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2",10
NPPC,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4880,hsa:4880,"NPPC, CNP, CNP2; natriuretic peptide C
",4
NPR1,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4881,hsa:4881,"NPR1, ANPRA, ANPa, GUC2A, GUCY2A, NPRA; natriuretic peptide receptor 1
",71
NPR2,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4882,hsa:4882,"NPR2, AMD1, AMDM, ANPRB, ANPb, ECDM, GC-B, GCB, GUC2B, GUCY2B, NPRB, NPRBi, SNSK; natriuretic peptide receptor 2
",37
NPY1R,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4886,hsa:4886,"NPY1R, NPY1-R, NPYR; neuropeptide Y receptor Y1",29
NPY2R,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4887,hsa:4887,"NPY2R, NPY2-R; neuropeptide Y receptor Y2",3
NPY5R,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4889,hsa:4889,"NPY5R, NPY5-R, NPYR5, NPYY5-R; neuropeptide Y receptor Y5",3
ATP2A3,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:489,hsa:489,"ATP2A3, SERCA3; ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 3
",10
NRAS,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4893,hsa:4893,"NRAS, ALPS4, CMNS, KRAS, N-ras, NCMS, NRAS1, NS6; NRAS proto-oncogene, GTPase
",768
NRCAM,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4897,hsa:4897,"NRCAM; neuronal cell adhesion molecule
",1
NRF1,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:4899,hsa:4899,"NRF1, ALPHA-PAL; nuclear respiratory factor 1
",2
